rank,final_score,semantic_score,title_score,career_score,assessment_score,skill_trust_score,behavioral_multiplier,ranker_reasoning,candidate_id,name,headline,summary,location,country,years_of_experience,current_title,current_company,current_company_size,current_industry,career_titles,career_companies,career_duration_months,career_industries,total_career_roles,career_descriptions,education_degrees,education_fields,education_institutions,education_tiers,top_skills,ai_skills,ai_skill_count,total_skill_count,certifications,assessment_scores,assessment_count,profile_completeness_score,open_to_work,github_activity_score,recruiter_response_rate,notice_period_days,preferred_work_mode,willing_to_relocate,expected_salary_lpa,interview_completion_rate,offer_acceptance_rate,connection_count,endorsements_received,verified_email,verified_phone,linkedin_connected,last_active_date,signup_date,profile_views_30d,saved_by_recruiters_30d,search_appearance_30d,avg_response_time_hours
28,0.842919,84.2919,35.0000,23.1481,9.4350,8.6088,1.1500,Lead AI Engineer | 6.7 yrs exp | 2 AI role(s) in career | assess=9.4 | resp_rate=0.73 | mult=1.150,CAND_0081846,Arjun Khanna,"Lead AI Engineer | LLMs, RAG, Vector Search | ex-Top Tech","Senior AI engineer with 6.7 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I rebuilt the candidate-JD matching pipeline from scratch, taking it from 0.72 to 0.91 NDCG@10, serving 50M+ queries per month. My day-to-day work spans embedding model selection and fine-tuning, hybrid retrieval architecture, learning-to-rank, behavioral-signal integration, and the offline/online evaluation that ties it all together. I've shipped systems in both early-stage product companies and at larger scale, and I've spent enough time on both that I know which tradeoffs apply where. I have strong opinions about when LLMs are the right hammer and when classical IR is — usually it's both. Currently exploring my next move — looking for senior IC or tech-lead roles where I can own the intelligence layer end-to-end.","Jaipur, Rajasthan",India,6.7,Lead AI Engineer,Razorpay,1001-5000,Fintech,Lead AI Engineer | Senior Machine Learning Engineer,Razorpay | Paytm,27 | 52,Fintech,2,"Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an | Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items. Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense ve",B.E. | Ph.D,Data Science | Computer Engineering,IIT Hyderabad | IIT Delhi,tier_1 | tier_1,"Information Retrieval (expert, 59 endorse, 93mo) | Learning to Rank (expert, 54 endorse, 58mo) | Vector Search (expert, 53 endorse, 79mo) | Machine Learning (expert, 53 endorse, 68mo) | BM25 (expert, 40 endorse, 75mo) | Qdrant (expert, 38 endorse, 49mo) | Recommendation Systems (expert, 36 endorse, 62mo) | Elasticsearch (expert, 23 endorse, 60mo) | Python (expert, 16 endorse, 75mo) | Embeddings (expert, 4 endorse, 95mo) | PyTorch (advanced, 37 endorse, 27mo) | Data Science (advanced, 30 endorse, 19mo) | Forecasting (advanced, 26 endorse, 51mo) | pgvector (advanced, 11 endorse, 38mo) | Semantic Search (advanced, 8 endorse, 19mo)",Data Science | LlamaIndex | PyTorch | scikit-learn | Deep Learning | Recommendation Systems | Machine Learning | Qdrant,8,18,"Google Cloud Professional ML Engineer (Google Cloud, 2021)",Data Science: 62.9 | Information Retrieval: 64.8 | LlamaIndex: 67.7,3,95.7,True,33.7,0.73,30,remote,True,33.3–52.8 LPA,0.94,-1,494,166,True,True,True,2026-05-03,2024-08-08,231,62,347,40.2
29,0.841866,84.1866,35.0000,23.1481,8.4027,9.1922,1.1500,Applied ML Engineer | 6.2 yrs exp | 2 AI role(s) in career | assess=8.4 | resp_rate=0.82 | mult=1.150,CAND_0075249,Ishaan Arora,"Applied ML Engineer | Search, Ranking & Retrieval","Machine learning engineer with 6.2 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I led the team that migrated our keyword-search-based product to embedding-based retrieval. I've spent enough time debugging production ranking issues to know which signals matter and which are noise. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Ahmedabad, Gujarat",India,6.2,Applied ML Engineer,Zomato,5001-10000,Food Delivery,Applied ML Engineer | Search Engineer,Zomato | upGrad,36 | 38,EdTech | Food Delivery,2,"Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) fo | Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n",M.Tech | M.E.,Artificial Intelligence | Computer Engineering,IIT Hyderabad | NIT Warangal,tier_1 | tier_1,"Haystack (expert, 52 endorse, 76mo) | Machine Learning (expert, 46 endorse, 68mo) | Pinecone (expert, 45 endorse, 80mo) | Milvus (expert, 17 endorse, 77mo) | BM25 (expert, 14 endorse, 40mo) | Sentence Transformers (expert, 12 endorse, 68mo) | Fine-tuning LLMs (expert, 11 endorse, 83mo) | Learning to Rank (expert, 8 endorse, 37mo) | Kubeflow (advanced, 53 endorse, 56mo) | MLflow (advanced, 10 endorse, 56mo) | Diffusion Models (intermediate, 13 endorse, 21mo) | Time Series (intermediate, 9 endorse, 17mo) | ASR (intermediate, 2 endorse, 21mo) | Hadoop (beginner, 8 endorse, 14mo)",Sentence Transformers | Milvus | Machine Learning | Fine-tuning LLMs | MLflow | Pinecone | Diffusion Models | Kubeflow,8,14,"NLP Specialization (Coursera/DeepLearning.AI, 2019)",Fine-tuning LLMs: 57.6 | MLflow: 54.7 | Machine Learning: 69.0 | Milvus: 77.9 | Sentence Transformers: 80.7,5,70.1,True,36.8,0.82,45,hybrid,False,27.5–60.3 LPA,0.63,0.43,526,143,False,True,True,2026-04-09,2024-07-31,172,9,850,23.8
30,0.840772,84.0772,35.0000,21.8070,12.5700,7.4642,1.1500,AI Research Engineer | 6.0 yrs exp | 4 AI role(s) in career | assess=12.6 | resp_rate=0.58 | mult=1.150,CAND_0088378,Kabir Chatterjee,AI Research Engineer | Building ML-powered solutions,"Data scientist / ML engineer with 6.0 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. My current role is split between dashboarding/analytics and shipping production ML models. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I'm looking to grow into a deeper AI/ML system-building role — closer to retrieval, LLMs, and modern ranking systems.","Jaipur, Rajasthan",India,6.0,AI Research Engineer,Yellow.ai,201-500,AI/ML,AI Research Engineer | Junior ML Engineer | Data Scientist | Senior Software Engineer (ML),Yellow.ai | BYJU'S | BYJU'S | Aganitha,12 | 36 | 13 | 10,AI/ML | EdTech,4,"Worked on time-series forecasting models for supply-chain demand prediction at a logistics company. Built models in Prophet, LightGBM, and (for one project) a small LSTM — the LightGBM model ended up  | Built computer vision models for our product's image moderation feature using PyTorch — fine-tuned ResNet variants on a labeled dataset of ~200K images. Set up the training pipeline (data loading, aug | Worked on time-series forecasting models for supply-chain demand prediction at a logistics company. Built models in Prophet, LightGBM, and (for one project) a small LSTM — the LightGBM model ended up  | Worked on time-series forecasting models for supply-chain demand prediction at a logistics company. Built models in Prophet, LightGBM, and (for one project) a small LSTM — the LightGBM model ended up ",B.Tech,Information Technology,Regional Technical Institute,tier_4,"Sentence Transformers (advanced, 51 endorse, 42mo) | Haystack (advanced, 49 endorse, 50mo) | Data Science (advanced, 47 endorse, 22mo) | Elasticsearch (advanced, 46 endorse, 30mo) | Image Classification (advanced, 22 endorse, 57mo) | Weights & Biases (intermediate, 13 endorse, 32mo) | Time Series (intermediate, 9 endorse, 35mo) | Information Retrieval (intermediate, 5 endorse, 23mo) | MLOps (intermediate, 3 endorse, 30mo) | Java (beginner, 7 endorse, 4mo) | dbt (beginner, 2 endorse, 2mo)",Data Science | Image Classification | Sentence Transformers | Weights & Biases,4,11,,Data Science: 83.8 | Elasticsearch: 63.9 | Image Classification: 73.9,3,65.2,True,66.2,0.58,45,onsite,False,26.8–33.7 LPA,0.69,-1,398,6,False,False,True,2026-02-26,2024-10-31,18,34,699,66.3
31,0.838667,88.4496,35.0000,22.2222,13.3200,8.6462,1.0904,Recommendation Systems Engineer | 4.1 yrs exp | 1 AI role(s) in career | assess=13.3 | resp_rate=0.56 | mult=1.090,CAND_0057701,Sai Kapoor,"Recommendation Systems Engineer | Search, Ranking & Retrieval","Machine learning engineer with 4.1 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I built our semantic search infrastructure from scratch — sentence-transformers, FAISS, the works. Along the way I've gotten comfortable with the operational side — A/B testing, drift monitoring, retraining schedules. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Chandigarh, Chandigarh",India,4.1,Recommendation Systems Engineer,Verloop.io,51-200,Conversational AI,Recommendation Systems Engineer,Verloop.io,49,Conversational AI,1,"Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item enga",M.E.,Computer Science,IIT Roorkee,tier_1,"Learning to Rank (expert, 50 endorse, 77mo) | Prompt Engineering (expert, 40 endorse, 76mo) | PEFT (expert, 28 endorse, 40mo) | Python (expert, 26 endorse, 76mo) | Machine Learning (expert, 25 endorse, 38mo) | OpenSearch (expert, 22 endorse, 53mo) | Deep Learning (advanced, 52 endorse, 49mo) | TensorFlow (advanced, 38 endorse, 19mo) | TTS (advanced, 33 endorse, 30mo) | Hugging Face Transformers (advanced, 23 endorse, 42mo) | Feature Engineering (advanced, 18 endorse, 18mo) | Milvus (advanced, 9 endorse, 25mo) | Qdrant (advanced, 6 endorse, 20mo) | Time Series (intermediate, 7 endorse, 15mo) | TypeScript (intermediate, 3 endorse, 18mo)",Deep Learning | Prompt Engineering | OpenSearch | Qdrant | Machine Learning | Hugging Face Transformers | PEFT | Milvus | TensorFlow | Feature Engineering | TTS,11,17,,Deep Learning: 69.6 | OpenSearch: 82.9 | Prompt Engineering: 88.8 | Python: 65.0 | Qdrant: 69.6,5,61.1,True,64.7,0.56,120,remote,False,29.1–48.1 LPA,0.61,0.64,449,69,True,True,True,2026-05-10,2026-04-28,135,9,988,53.2
32,0.838139,83.8139,35.0000,23.1481,12.3000,8.8450,1.1500,Applied ML Engineer | 5.0 yrs exp | 2 AI role(s) in career | assess=12.3 | resp_rate=0.84 | mult=1.150,CAND_0096142,Pranav Sethi,"Applied ML Engineer | Search, Ranking & Retrieval","Machine learning engineer with 5.0 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, my main project for the last 18 months has been the recommendation system that powers our discovery feed. Along the way I've gotten comfortable with the operational side — A/B testing, drift monitoring, retraining schedules. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Hyderabad, Telangana",India,5.0,Applied ML Engineer,upGrad,1001-5000,EdTech,Applied ML Engineer | Applied ML Engineer,upGrad | BYJU'S,42 | 18,EdTech,2,"Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item enga | Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) fo",M.Tech,Machine Learning,IIIT Bangalore,tier_1,"NLP (expert, 35 endorse, 48mo) | Python (expert, 29 endorse, 72mo) | Hugging Face Transformers (expert, 29 endorse, 42mo) | Pinecone (expert, 18 endorse, 62mo) | BM25 (expert, 13 endorse, 69mo) | Weights & Biases (advanced, 60 endorse, 18mo) | BentoML (advanced, 57 endorse, 53mo) | RAG (advanced, 52 endorse, 47mo) | Weaviate (advanced, 38 endorse, 58mo) | OpenCV (advanced, 28 endorse, 45mo) | LoRA (advanced, 3 endorse, 55mo) | Kubeflow (intermediate, 9 endorse, 23mo) | CNN (intermediate, 5 endorse, 31mo) | dbt (intermediate, 2 endorse, 16mo) | CSS (beginner, 0 endorse, 3mo)",Kubeflow | LoRA | Weaviate | Pinecone | BentoML | Weights & Biases | NLP | OpenCV | Hugging Face Transformers,9,15,"AWS Certified Machine Learning Specialty (AWS, 2024)",LoRA: 91.8 | Pinecone: 82.0 | Weaviate: 85.7,3,67.3,True,80.5,0.84,120,hybrid,False,34.3–59.3 LPA,0.55,0.82,1468,174,True,True,False,2026-05-21,2025-07-11,159,18,715,7.3
33,0.838093,83.8093,35.0000,22.2222,11.2200,7.1598,1.1500,AI Research Engineer | 3.6 yrs exp | 1 AI role(s) in career | assess=11.2 | resp_rate=0.78 | mult=1.150,CAND_0043381,Riya Sharma,AI Research Engineer | Building ML-powered solutions,"Data scientist / ML engineer with 3.6 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've been working on recommendation-style features but lighter on the deep-learning side — mostly classical methods like collaborative filtering and gradient-boosted models. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I'm looking to grow into a deeper AI/ML system-building role — closer to retrieval, LLMs, and modern ranking systems.","Pune, Maharashtra",India,3.6,AI Research Engineer,PharmEasy,5001-10000,HealthTech,AI Research Engineer,PharmEasy,43,HealthTech,1,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. Used a combination of collaborative filtering (matrix factorization in implic",B.Sc,Computer Engineering,IIT Kanpur,tier_1,"Forecasting (advanced, 55 endorse, 56mo) | scikit-learn (advanced, 35 endorse, 54mo) | OpenSearch (advanced, 31 endorse, 57mo) | BentoML (advanced, 30 endorse, 31mo) | MLflow (advanced, 9 endorse, 52mo) | Kubeflow (advanced, 1 endorse, 39mo) | Pinecone (intermediate, 12 endorse, 30mo) | BM25 (intermediate, 4 endorse, 8mo) | ETL (beginner, 13 endorse, 3mo)",scikit-learn | OpenSearch | Pinecone | BentoML | MLflow | Kubeflow,6,9,,BentoML: 58.0 | Forecasting: 53.7 | MLflow: 74.8 | OpenSearch: 55.2 | scikit-learn: 77.3,5,45.1,True,70.7,0.78,45,hybrid,False,30.6–46.6 LPA,0.84,0.63,473,9,True,True,False,2026-05-01,2024-08-08,188,38,294,24.0
34,0.837351,84.7715,35.0000,24.0741,10.5600,9.0969,1.1359,NLP Engineer | 16.1 yrs exp | 3 AI role(s) in career | assess=10.6 | resp_rate=0.41 | mult=1.136,CAND_0093331,Kiara Menon,NLP Engineer | Applied ML | Building intelligent products,"Machine learning engineer with 7.2 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I led the team that migrated our keyword-search-based product to embedding-based retrieval. I care a lot about evaluation rigor — too many teams ship models without offline benchmarks they trust. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Kochi, Kerala",India,16.1,NLP Engineer,Genpact AI,10001+,AI Services,NLP Engineer | NLP Engineer | Recommendation Systems Engineer,Genpact AI | InMobi | Observe.AI,49 | 13 | 24,AdTech | AI/ML | AI Services,3,"Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration, and our internal feature store. My main project was a churn prediction model that's now use | Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n | Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n",Ph.D | M.S.,Computer Engineering | Artificial Intelligence,Christ University | Anna University,tier_3 | tier_2,"LangChain (expert, 58 endorse, 76mo) | PyTorch (expert, 43 endorse, 58mo) | PEFT (expert, 32 endorse, 63mo) | Prompt Engineering (expert, 20 endorse, 47mo) | Milvus (expert, 8 endorse, 38mo) | BM25 (advanced, 57 endorse, 56mo) | QLoRA (advanced, 46 endorse, 35mo) | BentoML (advanced, 23 endorse, 50mo) | Embeddings (advanced, 10 endorse, 58mo) | Reinforcement Learning (intermediate, 15 endorse, 33mo) | Accounting (intermediate, 11 endorse, 10mo) | Time Series (intermediate, 9 endorse, 14mo)",PyTorch | Prompt Engineering | QLoRA | LangChain | Milvus | BentoML | PEFT,7,12,"Google Cloud Professional ML Engineer (Google Cloud, 2021) | LangChain for LLM Application Development (DeepLearning.AI, 2025)",Prompt Engineering: 70.4 | PyTorch: 73.0 | QLoRA: 60.0,3,77.4,False,74.0,0.41,30,hybrid,True,34.4–54.6 LPA,0.98,0.88,1261,127,True,True,False,2026-04-08,2024-10-19,179,30,897,75.1
35,0.833637,83.3637,35.0000,22.2222,11.4150,8.2795,1.1500,AI Research Engineer | 3.5 yrs exp | 1 AI role(s) in career | assess=11.4 | resp_rate=0.87 | mult=1.150,CAND_0054318,Yash Goyal,AI Research Engineer | Building ML-powered solutions,"Data scientist / ML engineer with 3.5 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've spent the last couple of years building NLP-based classification and information extraction pipelines. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I'm looking to grow into a deeper AI/ML system-building role — closer to retrieval, LLMs, and modern ranking systems.","Chandigarh, Chandigarh",India,3.5,AI Research Engineer,BYJU'S,10001+,EdTech,AI Research Engineer,BYJU'S,42,EdTech,1,"Contributed to ML feature engineering and model deployment for a fraud-detection product. My main role was engineering: building the Flask-based prediction API, integrating with the feature store, and",B.E. | M.E.,Computer Science | Artificial Intelligence,IIT Madras | Jadavpur University,tier_1 | tier_2,"GANs (advanced, 49 endorse, 56mo) | Diffusion Models (advanced, 39 endorse, 48mo) | LoRA (advanced, 34 endorse, 46mo) | Information Retrieval (advanced, 29 endorse, 43mo) | PyTorch (advanced, 26 endorse, 60mo) | Speech Recognition (advanced, 20 endorse, 49mo) | MLflow (advanced, 3 endorse, 48mo) | FAISS (advanced, 3 endorse, 60mo) | HTML (intermediate, 13 endorse, 20mo) | QLoRA (intermediate, 12 endorse, 21mo) | Semantic Search (intermediate, 10 endorse, 34mo) | Python (intermediate, 10 endorse, 17mo) | Reinforcement Learning (intermediate, 8 endorse, 33mo) | Scrum (intermediate, 6 endorse, 11mo) | GCP (intermediate, 4 endorse, 24mo)",Diffusion Models | Speech Recognition | MLflow | PyTorch | FAISS | GANs | QLoRA | LoRA,8,16,,Diffusion Models: 74.1 | Information Retrieval: 64.2 | MLflow: 76.1 | Speech Recognition: 46.2,4,93.4,True,22.1,0.87,60,onsite,False,20.7–31.9 LPA,0.8,0.85,82,132,True,True,False,2026-05-27,2026-04-02,148,27,646,7.2
36,0.833614,83.3614,35.0000,23.1481,12.1350,8.5634,1.1500,Senior NLP Engineer | 5.2 yrs exp | 2 AI role(s) in career | assess=12.1 | resp_rate=0.86 | mult=1.150,CAND_0005260,Mira Ghosh,"Senior NLP Engineer | LLMs, RAG, Vector Search | ex-Top Tech","Senior AI engineer with 5.2 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I drove the platform's RAG strategy from prototype to production, including the eval framework, operating at single-digit-millisecond p95 retrieval latency. My day-to-day work spans embedding model selection and fine-tuning, hybrid retrieval architecture, learning-to-rank, behavioral-signal integration, and the offline/online evaluation that ties it all together. I've shipped systems in both early-stage product companies and at larger scale, and I've spent enough time on both that I know which tradeoffs apply where. I believe most ranking problems are solved by careful feature engineering and rigorous eval, not by bigger models. Currently exploring my next move — looking for senior IC or tech-lead roles where I can own the intelligence layer end-to-end.","Chennai, Tamil Nadu",India,5.2,Senior NLP Engineer,Netflix,10001+,Media,Senior NLP Engineer | Senior NLP Engineer,Netflix | Yellow.ai,34 | 27,AI/ML | Media,2,"Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. Built the data curation pipeline that generated 200K high-quality preference pairs from re | Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an",B.Tech,Artificial Intelligence,IIIT Bangalore,tier_1,"NLP (expert, 52 endorse, 60mo) | Semantic Search (expert, 49 endorse, 56mo) | Python (expert, 46 endorse, 43mo) | LoRA (expert, 22 endorse, 43mo) | Deep Learning (expert, 19 endorse, 53mo) | Embeddings (expert, 11 endorse, 95mo) | RAG (advanced, 35 endorse, 50mo) | pgvector (advanced, 26 endorse, 21mo) | Haystack (advanced, 26 endorse, 25mo) | Speech Recognition (advanced, 24 endorse, 33mo) | Hugging Face Transformers (advanced, 19 endorse, 39mo) | MLflow (advanced, 18 endorse, 34mo) | Information Retrieval (advanced, 15 endorse, 45mo) | Prompt Engineering (advanced, 11 endorse, 56mo) | Statistical Modeling (intermediate, 13 endorse, 36mo)",Statistical Modeling | Prompt Engineering | Speech Recognition | Deep Learning | NLP | MLflow | LoRA | Kubeflow | Hugging Face Transformers,9,18,,Prompt Engineering: 80.9,1,94.8,False,-1,0.86,60,onsite,True,39.6–64.9 LPA,0.73,0.93,869,153,True,True,True,2026-05-10,2025-10-31,331,11,1154,46.8
37,0.833288,83.3288,35.0000,22.2222,11.0641,8.8925,1.1500,NLP Engineer | 15.6 yrs exp | 1 AI role(s) in career | assess=11.1 | resp_rate=0.90 | mult=1.150,CAND_0095619,Vivaan Dalal,NLP Engineer | Applied ML | Building intelligent products,"Machine learning engineer with 4.2 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I shipped our first RAG-based feature this year and now own the eval framework for it. I've spent enough time debugging production ranking issues to know which signals matter and which are noise. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Mumbai, Maharashtra",India,15.6,NLP Engineer,Nykaa,1001-5000,E-commerce,NLP Engineer,Nykaa,50,E-commerce,1,"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli",M.Sc,Machine Learning,NIT Warangal,tier_1,"scikit-learn (expert, 32 endorse, 57mo) | Pinecone (expert, 15 endorse, 74mo) | NLP (expert, 13 endorse, 59mo) | Learning to Rank (expert, 11 endorse, 57mo) | Weaviate (expert, 11 endorse, 60mo) | BM25 (expert, 8 endorse, 48mo) | Hugging Face Transformers (advanced, 56 endorse, 28mo) | YOLO (advanced, 55 endorse, 22mo) | Sentence Transformers (advanced, 49 endorse, 41mo) | Feature Engineering (advanced, 45 endorse, 41mo) | Fine-tuning LLMs (advanced, 41 endorse, 21mo) | MLflow (advanced, 29 endorse, 58mo) | TTS (advanced, 13 endorse, 58mo) | Information Retrieval (advanced, 8 endorse, 52mo) | Elasticsearch (advanced, 7 endorse, 37mo)",Feature Engineering | Pinecone | MLflow | scikit-learn | Hugging Face Transformers | NLP | Weaviate | TTS | Sentence Transformers | Fine-tuning LLMs | YOLO,11,17,"NLP Specialization (Coursera/DeepLearning.AI, 2020)",Feature Engineering: 50.5 | Learning to Rank: 55.6 | MLflow: 89.9 | Pinecone: 77.3 | scikit-learn: 59.6,5,92.6,True,29.7,0.9,30,hybrid,False,26.3–55.1 LPA,0.93,0.64,474,121,True,True,True,2026-04-16,2024-12-31,94,55,1018,8.6
38,0.832557,87.5824,35.0000,24.0741,12.4500,8.6397,1.0932,Applied ML Engineer | 6.8 yrs exp | 3 AI role(s) in career | assess=12.4 | resp_rate=0.41 | mult=1.093,CAND_0043228,Kiara Sen,Applied ML Engineer | Applied ML | Building intelligent products,"Machine learning engineer with 6.8 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I built our semantic search infrastructure from scratch — sentence-transformers, FAISS, the works. I've learned that most retrieval problems are actually evaluation problems in disguise. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Chennai, Tamil Nadu",India,6.8,Applied ML Engineer,Zoho,10001+,SaaS,Applied ML Engineer | Applied ML Engineer | Search Engineer,Zoho | Vedantu | Yellow.ai,25 | 44 | 11,SaaS | AI/ML | EdTech,3,"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli | Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration, and our internal feature store. My main project was a churn prediction model that's now use | Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n",B.E.,Artificial Intelligence,IIT Madras,tier_1,"Sentence Transformers (expert, 53 endorse, 82mo) | Hugging Face Transformers (expert, 31 endorse, 86mo) | OpenSearch (expert, 31 endorse, 51mo) | pgvector (expert, 23 endorse, 76mo) | NLP (expert, 20 endorse, 66mo) | Weaviate (expert, 0 endorse, 43mo) | Haystack (advanced, 47 endorse, 45mo) | ASR (advanced, 45 endorse, 24mo) | Vector Search (advanced, 44 endorse, 32mo) | Learning to Rank (advanced, 41 endorse, 29mo) | Machine Learning (advanced, 17 endorse, 27mo) | Image Classification (advanced, 14 endorse, 51mo) | Kubeflow (advanced, 8 endorse, 26mo) | FastAPI (intermediate, 11 endorse, 13mo) | YOLO (intermediate, 11 endorse, 27mo)",NLP | Hugging Face Transformers | Image Classification | Machine Learning | Sentence Transformers | YOLO | TTS | Weaviate | Kubeflow | OpenSearch,10,18,,ASR: 76.5 | Haystack: 65.0 | Hugging Face Transformers: 64.4 | Image Classification: 83.6 | NLP: 83.0,5,88.3,False,47.6,0.41,30,hybrid,False,32.8–43.2 LPA,0.94,0.52,279,22,True,True,True,2026-05-22,2024-05-17,72,65,316,42.0
